,EDAD,GENERO,RESIDENCIA,NV_ESTUDIO,ESTUDIO_PREV,TRACK_DH,AVG_DH,MINUTES_DH,EXPERIENCIA,DIAS_EMP
1036,37.0,FEMENINO,MEXICO,TERTIARY,,PROGRAMACION,3.4,4493.0,22.1,100.0
1037,,MASCULINO,ARGENTINA,UNIVERSITARY,ENGINEERING,PROGRAMACION,3.3,4427.1,24.0,90.0
1038,29.0,,,POST_GRADUATE,,EJECUTIVO,2.4,1698.0,9.7,89.0
1039,39.0,FEMENINO,,UNIVERSITARY,ENGINEERING,DATA,3.7,4567.7,23.9,100.0
1040,28.0,FEMENINO,BRAZIL,UNIVERSITARY,COMMERCIAL,PROGRAMACION,3.3,4394.5,7.1,92.0
1041,32.0,MASCULINO,,TERTIARY,DEVELOPMENT,PROGRAMACION,2.8,3338.1,,90.0
1042,,MASCULINO,BRAZIL,UNIVERSITARY,COMMERCIAL,DATA,3.6,4610.6,26.6,91.0
1043,,MASCULINO,ARGENTINA,TERTIARY,,DATA,2.6,2561.6,16.7,90.0
1044,35.0,MASCULINO,ARGENTINA,UNIVERSITARY,DEVELOPMENT,DATA,4.2,,,87.0
1045,38.0,,ARGENTINA,UNIVERSITARY,,DATA,,5335.2,22.9,87.0
1046,38.0,MASCULINO,,TERTIARY,ENGINEERING,DATA,,4356.2,21.2,91.0
1047,31.0,FEMENINO,BRAZIL,,COMMERCIAL,PROGRAMACION,3.2,4297.7,9.9,96.0
1048,33.0,,ARGENTINA,,,EJECUTIVO,3.4,4628.8,13.9,84.0
1049,27.0,MASCULINO,ARGENTINA,TERTIARY,,PROGRAMACION,4.1,4780.0,,86.0
1050,41.0,FEMENINO,ARGENTINA,UNIVERSITARY,ENGINEERING,DATA,2.7,2806.3,25.5,103.0
1051,44.0,,ARGENTINA,TERTIARY,ENGINEERING,DATA,2.9,3574.0,29.0,94.0
1052,31.0,MASCULINO,ARGENTINA,UNIVERSITARY,ENGINEERING,EJECUTIVO,,3890.7,11.3,86.0
1053,30.0,MASCULINO,BRAZIL,UNIVERSITARY,ENGINEERING,DATA,3.7,4675.6,11.4,81.0
1054,37.0,MASCULINO,,,COMMERCIAL,MARKETING,4.2,,,86.0
1055,34.0,MASCULINO,ARGENTINA,UNIVERSITARY,,,3.4,4481.6,15.8,88.0
1056,30.0,MASCULINO,ARGENTINA,UNIVERSITARY,ENGINEERING,PROGRAMACION,3.6,4720.1,9.4,82.0
1057,,MASCULINO,MEXICO,,COMMERCIAL,,,4180.8,15.5,85.0
1058,30.0,FEMENINO,MEXICO,POST_GRADUATE,COMMERCIAL,MARKETING,3.9,4676.7,8.7,95.0
1059,39.0,FEMENINO,ARGENTINA,,COMMERCIAL,DATA,4.6,6045.1,22.6,100.0
1060,36.0,MASCULINO,ARGENTINA,,COMMERCIAL,DATA,3.1,4038.3,,89.0
1061,41.0,FEMENINO,BRAZIL,,DEVELOPMENT,DATA,3.2,4369.8,26.0,105.0
1062,26.0,,,UNIVERSITARY,ENGINEERING,PROGRAMACION,3.5,,5.8,94.0
1063,36.0,MASCULINO,ARGENTINA,UNIVERSITARY,ENGINEERING,,3.9,4726.6,21.1,86.0
1064,32.0,FEMENINO,ARGENTINA,POST_GRADUATE,DEVELOPMENT,,3.6,,13.2,99.0
1065,32.0,FEMENINO,,,DEVELOPMENT,DATA,3.5,4523.3,12.0,96.0
1066,42.0,FEMENINO,ARGENTINA,,ENGINEERING,PROGRAMACION,4.1,4759.4,,104.0
1067,,,ARGENTINA,UNIVERSITARY,DEVELOPMENT,,3.6,,12.5,86.0
1068,42.0,MASCULINO,ARGENTINA,TERTIARY,ENGINEERING,DATA,,4684.6,,92.0
1069,31.0,,ARGENTINA,TERTIARY,ENGINEERING,PROGRAMACION,3.3,4502.0,12.8,99.0
1070,43.0,FEMENINO,BRAZIL,TERTIARY,,,3.3,4372.7,28.5,104.0
1071,30.0,MASCULINO,BRAZIL,UNIVERSITARY,ENGINEERING,MARKETING,4.4,5309.1,11.3,85.0
1072,32.0,MASCULINO,ARGENTINA,TERTIARY,ENGINEERING,,4.0,4824.5,,85.0
1073,36.0,MASCULINO,BRAZIL,TERTIARY,,DATA,3.3,4362.2,17.8,90.0
1074,38.0,MASCULINO,ARGENTINA,TERTIARY,,DATA,3.5,4628.0,24.2,89.0
1075,40.0,,,UNIVERSITARY,ENGINEERING,PROGRAMACION,3.5,,24.5,101.0
1076,30.0,MASCULINO,ARGENTINA,UNIVERSITARY,,PROGRAMACION,4.1,4751.0,,82.0
1077,44.0,FEMENINO,ARGENTINA,UNIVERSITARY,COMMERCIAL,DATA,4.1,,30.1,102.0
1078,,MASCULINO,ARGENTINA,,COMMERCIAL,PROGRAMACION,3.5,4601.7,24.9,90.0
1079,40.0,FEMENINO,ARGENTINA,POST_GRADUATE,DEVELOPMENT,MARKETING,3.4,4473.6,25.0,100.0
1080,43.0,MASCULINO,ARGENTINA,TERTIARY,COMMERCIAL,DATA,4.1,4795.5,27.6,96.0
1081,,MASCULINO,BRAZIL,,ENGINEERING,,3.4,4610.3,,83.0
1082,45.0,,ARGENTINA,POST_GRADUATE,ENGINEERING,MARKETING,3.3,4380.2,28.0,91.0
1083,29.0,FEMENINO,ARGENTINA,TERTIARY,ENGINEERING,PROGRAMACION,4.0,4703.4,8.5,96.0
1084,28.0,MASCULINO,BRAZIL,UNIVERSITARY,,DATA,2.7,,7.0,85.0
1085,,MASCULINO,ARGENTINA,UNIVERSITARY,ENGINEERING,DATA,,4496.1,25.5,89.0
1086,43.0,,MEXICO,UNIVERSITARY,ENGINEERING,PROGRAMACION,3.7,4690.1,28.5,102.0
1087,40.0,,,,COMMERCIAL,PROGRAMACION,3.7,4679.3,26.8,90.0
1088,32.0,MASCULINO,MEXICO,POST_GRADUATE,,,,4626.8,14.0,81.0
1089,40.0,FEMENINO,ARGENTINA,TERTIARY,ENGINEERING,DATA,4.1,4842.9,25.4,100.0
1090,42.0,MASCULINO,MEXICO,POST_GRADUATE,COMMERCIAL,PROGRAMACION,,4454.6,26.9,92.0
1091,41.0,,MEXICO,UNIVERSITARY,DEVELOPMENT,PROGRAMACION,3.6,,,102.0
1092,27.0,,BRAZIL,TERTIARY,ENGINEERING,DATA,4.0,4697.9,6.7,94.0
1093,39.0,FEMENINO,ARGENTINA,UNIVERSITARY,ENGINEERING,PROGRAMACION,4.1,4774.9,24.4,98.0
1094,30.0,MASCULINO,ARGENTINA,UNIVERSITARY,ENGINEERING,MARKETING,4.2,4833.4,,84.0
1095,,FEMENINO,ARGENTINA,TERTIARY,COMMERCIAL,,2.9,3502.5,10.6,100.0
1096,32.0,MASCULINO,BRAZIL,UNIVERSITARY,ENGINEERING,,3.6,4684.4,13.0,85.0
1097,,MASCULINO,ARGENTINA,,COMMERCIAL,DATA,3.9,4594.7,5.4,85.0
1098,30.0,MASCULINO,ARGENTINA,TERTIARY,DEVELOPMENT,MARKETING,3.3,4529.2,10.6,87.0
1099,40.0,MASCULINO,ARGENTINA,UNIVERSITARY,DEVELOPMENT,DATA,4.1,4789.4,25.2,89.0
1100,29.0,MASCULINO,ARGENTINA,UNIVERSITARY,ENGINEERING,DATA,3.2,4259.8,8.1,84.0
1101,,,,UNIVERSITARY,ENGINEERING,DATA,,4262.1,15.1,86.0
1102,32.0,MASCULINO,ARGENTINA,UNIVERSITARY,DEVELOPMENT,,,4652.1,11.5,86.0
1103,35.0,FEMENINO,ARGENTINA,TERTIARY,COMMERCIAL,DATA,4.1,4792.1,18.5,102.0
1104,23.0,MASCULINO,ARGENTINA,,ENGINEERING,DATA,2.7,2809.9,1.1,86.0
1105,25.0,,ARGENTINA,UNIVERSITARY,ENGINEERING,PROGRAMACION,3.1,4053.1,,85.0
1106,,FEMENINO,ARGENTINA,POST_GRADUATE,ENGINEERING,MARKETING,3.6,4558.4,16.3,95.0
1107,36.0,MASCULINO,BRAZIL,UNIVERSITARY,BUSINESS,DATA,3.7,4553.8,19.6,91.0
1108,36.0,MASCULINO,,POST_GRADUATE,DEVELOPMENT,EJECUTIVO,3.6,4616.0,19.2,90.0
1109,28.0,MASCULINO,ARGENTINA,UNIVERSITARY,ENGINEERING,MARKETING,3.7,4615.7,8.6,83.0
1110,44.0,MASCULINO,ARGENTINA,TERTIARY,DEVELOPMENT,PROGRAMACION,4.0,,28.2,95.0
1111,,,ARGENTINA,,ENGINEERING,MARKETING,3.5,4526.8,11.0,84.0
1112,42.0,,BRAZIL,TERTIARY,COMMERCIAL,,,2098.7,25.7,99.0
1113,31.0,MASCULINO,ARGENTINA,POST_GRADUATE,ENGINEERING,MARKETING,3.4,4615.4,10.8,85.0
1114,33.0,MASCULINO,ARGENTINA,UNIVERSITARY,COMMERCIAL,DATA,3.5,,15.8,83.0
1115,36.0,MASCULINO,ARGENTINA,UNIVERSITARY,ENGINEERING,PROGRAMACION,3.0,3865.4,18.7,90.0
1116,25.0,,MEXICO,POST_GRADUATE,DEVELOPMENT,PROGRAMACION,2.5,2135.3,3.4,98.0
1117,36.0,MASCULINO,ARGENTINA,UNIVERSITARY,ENGINEERING,PROGRAMACION,3.7,4677.8,19.1,88.0
1118,27.0,MASCULINO,,UNIVERSITARY,ENGINEERING,DATA,,4398.5,,82.0
1119,32.0,FEMENINO,,UNIVERSITARY,DEVELOPMENT,DATA,,4174.1,,95.0
1120,35.0,MASCULINO,ARGENTINA,UNIVERSITARY,ENGINEERING,DATA,3.4,4569.9,16.7,88.0
1121,,MASCULINO,ARGENTINA,TERTIARY,BUSINESS,,3.8,4711.7,,91.0
1122,34.0,MASCULINO,MEXICO,TERTIARY,ENGINEERING,,3.3,,17.6,89.0
1123,42.0,,ARGENTINA,UNIVERSITARY,ENGINEERING,MARKETING,3.3,4528.7,28.2,92.0
1124,,MASCULINO,,TERTIARY,,,3.3,4443.0,13.6,89.0
1125,35.0,FEMENINO,MEXICO,,ENGINEERING,DATA,,4651.9,18.3,96.0
1126,,MASCULINO,,UNIVERSITARY,ENGINEERING,EJECUTIVO,3.5,,9.5,83.0
1127,30.0,MASCULINO,ARGENTINA,TERTIARY,ENGINEERING,DATA,3.6,4717.6,9.0,85.0
1128,24.0,MASCULINO,MEXICO,,COMMERCIAL,PROGRAMACION,4.2,,1.3,87.0
1129,,,ARGENTINA,UNIVERSITARY,DEVELOPMENT,DATA,3.5,4551.6,8.1,95.0
1130,25.0,MASCULINO,BRAZIL,UNIVERSITARY,ENGINEERING,MARKETING,3.4,4447.8,2.5,81.0
1131,40.0,MASCULINO,ARGENTINA,,ENGINEERING,EJECUTIVO,3.3,4514.4,25.1,89.0
1133,38.0,MASCULINO,ARGENTINA,UNIVERSITARY,,EJECUTIVO,4.1,4819.1,22.7,88.0
1134,33.0,FEMENINO,ARGENTINA,UNIVERSITARY,COMMERCIAL,,3.7,4597.0,15.9,95.0
1135,29.0,MASCULINO,ARGENTINA,UNIVERSITARY,,DATA,,4630.6,,84.0
1136,,FEMENINO,BRAZIL,TERTIARY,COMMERCIAL,EJECUTIVO,3.5,4637.9,28.2,105.0
1137,26.0,FEMENINO,ARGENTINA,UNIVERSITARY,ENGINEERING,DATA,3.7,4732.6,,94.0
1138,27.0,FEMENINO,MEXICO,UNIVERSITARY,COMMERCIAL,PROGRAMACION,3.1,4027.9,5.7,93.0
1139,39.0,FEMENINO,ARGENTINA,UNIVERSITARY,DEVELOPMENT,EJECUTIVO,3.0,3961.2,23.2,100.0
1140,,,ARGENTINA,UNIVERSITARY,DEVELOPMENT,DATA,3.8,4646.8,22.4,87.0
1141,36.0,MASCULINO,MEXICO,TERTIARY,DEVELOPMENT,DATA,3.3,4519.9,20.3,94.0
1142,32.0,MASCULINO,ARGENTINA,UNIVERSITARY,ENGINEERING,,3.4,,13.0,86.0
1143,,FEMENINO,,POST_GRADUATE,ENGINEERING,PROGRAMACION,3.5,4662.9,9.8,93.0
1144,40.0,,ARGENTINA,UNIVERSITARY,ENGINEERING,,3.8,,25.2,89.0
1145,28.0,MASCULINO,ARGENTINA,TERTIARY,ENGINEERING,DATA,2.7,2889.0,7.2,86.0
1146,41.0,FEMENINO,MEXICO,TERTIARY,MARKETING,DATA,3.2,4300.3,,108.0
1147,,MASCULINO,ARGENTINA,UNIVERSITARY,COMMERCIAL,PROGRAMACION,4.1,4731.3,21.5,88.0
1148,30.0,,ARGENTINA,UNIVERSITARY,,DATA,3.6,4723.4,10.1,93.0
1149,31.0,FEMENINO,ARGENTINA,UNIVERSITARY,ENGINEERING,PROGRAMACION,3.8,4751.4,11.9,92.0
1150,44.0,MASCULINO,BRAZIL,TERTIARY,ENGINEERING,,3.4,,29.4,94.0
1151,,MASCULINO,ARGENTINA,UNIVERSITARY,COMMERCIAL,DATA,3.4,4575.4,20.4,88.0
1152,30.0,MASCULINO,,TERTIARY,BUSINESS,DATA,3.5,4524.1,9.5,91.0
1153,32.0,MASCULINO,BRAZIL,,ENGINEERING,,3.8,4572.9,11.2,86.0
1154,34.0,MASCULINO,ARGENTINA,UNIVERSITARY,ENGINEERING,DATA,3.3,4468.4,16.1,86.0
1155,34.0,,ARGENTINA,UNIVERSITARY,COMMERCIAL,DATA,3.5,4676.3,14.7,86.0
1156,,MASCULINO,BRAZIL,UNIVERSITARY,ENGINEERING,DATA,,4566.7,15.1,86.0
1157,38.0,MASCULINO,,UNIVERSITARY,COMMERCIAL,EJECUTIVO,4.0,4686.8,21.3,89.0
1158,31.0,MASCULINO,ARGENTINA,TERTIARY,,PROGRAMACION,3.2,4217.7,,90.0
1159,35.0,FEMENINO,MEXICO,TERTIARY,BUSINESS,EJECUTIVO,4.3,5198.5,17.8,102.0
1160,38.0,FEMENINO,,UNIVERSITARY,,EJECUTIVO,3.0,3831.3,22.0,100.0
1161,35.0,MASCULINO,ARGENTINA,UNIVERSITARY,ENGINEERING,PROGRAMACION,,2844.5,,89.0
1162,34.0,FEMENINO,BRAZIL,UNIVERSITARY,MARKETING,,4.1,4782.0,16.2,102.0
1163,29.0,MASCULINO,BRAZIL,UNIVERSITARY,ENGINEERING,DATA,,4339.1,7.3,84.0
1164,31.0,,,UNIVERSITARY,ENGINEERING,EJECUTIVO,3.5,4578.2,10.9,83.0
1165,35.0,FEMENINO,ARGENTINA,UNIVERSITARY,COMMERCIAL,PROGRAMACION,,3862.6,,99.0
1166,36.0,MASCULINO,BRAZIL,UNIVERSITARY,DEVELOPMENT,MARKETING,3.6,,,88.0
1167,34.0,MASCULINO,ARGENTINA,TERTIARY,MARKETING,DATA,,4193.4,15.3,94.0
1168,25.0,FEMENINO,MEXICO,POST_GRADUATE,DEVELOPMENT,DATA,2.8,3294.4,3.3,95.0
1169,26.0,FEMENINO,MEXICO,POST_GRADUATE,,DATA,3.8,4638.0,,96.0
1170,33.0,FEMENINO,ARGENTINA,POST_GRADUATE,COMMERCIAL,EJECUTIVO,3.5,4703.9,14.9,96.0
1171,30.0,MASCULINO,MEXICO,UNIVERSITARY,COMMERCIAL,EJECUTIVO,3.6,4541.3,8.7,84.0
1172,43.0,MASCULINO,MEXICO,TERTIARY,ENGINEERING,PROGRAMACION,3.8,4747.0,28.8,92.0
1173,32.0,MASCULINO,ARGENTINA,TERTIARY,MARKETING,,3.9,4637.0,12.6,91.0
1174,32.0,MASCULINO,ARGENTINA,,BUSINESS,PROGRAMACION,3.9,4700.7,12.6,88.0
1175,33.0,FEMENINO,,UNIVERSITARY,ENGINEERING,DATA,,4534.5,,94.0
1176,,MASCULINO,,UNIVERSITARY,BUSINESS,,4.2,4904.2,22.7,91.0
1177,38.0,FEMENINO,ARGENTINA,TERTIARY,ENGINEERING,PROGRAMACION,3.5,4565.2,,100.0
1178,,MASCULINO,ARGENTINA,UNIVERSITARY,ENGINEERING,DATA,3.7,4634.7,27.3,92.0
1179,,MASCULINO,,,ENGINEERING,,3.1,4168.2,7.3,81.0
1180,38.0,MASCULINO,BRAZIL,TERTIARY,COMMERCIAL,PROGRAMACION,3.5,4526.4,23.1,90.0
1181,34.0,MASCULINO,ARGENTINA,,DEVELOPMENT,EJECUTIVO,3.8,4656.0,16.0,90.0
1182,27.0,,ARGENTINA,POST_GRADUATE,COMMERCIAL,,3.6,4630.9,7.4,82.0
1183,36.0,MASCULINO,BRAZIL,POST_GRADUATE,BUSINESS,DATA,3.5,4515.7,19.3,91.0
1184,30.0,MASCULINO,,UNIVERSITARY,ENGINEERING,EJECUTIVO,4.0,4776.2,10.3,83.0
1185,29.0,MASCULINO,BRAZIL,,,DATA,3.5,4675.7,7.7,84.0
1186,28.0,MASCULINO,ARGENTINA,UNIVERSITARY,ENGINEERING,PROGRAMACION,3.5,,7.4,84.0
1187,30.0,MASCULINO,BRAZIL,UNIVERSITARY,DEVELOPMENT,DATA,2.9,,9.5,86.0
1188,,MASCULINO,BRAZIL,,MARKETING,PROGRAMACION,,4627.2,13.6,92.0
1189,29.0,MASCULINO,,UNIVERSITARY,ENGINEERING,DATA,,3519.0,,85.0
1190,38.0,MASCULINO,ARGENTINA,POST_GRADUATE,ENGINEERING,DATA,3.3,4407.4,23.2,89.0
1191,41.0,FEMENINO,ARGENTINA,TERTIARY,ENGINEERING,DATA,3.6,4699.2,26.9,104.0
1192,,MASCULINO,ARGENTINA,UNIVERSITARY,COMMERCIAL,DATA,4.6,,5.5,85.0
1193,31.0,MASCULINO,ARGENTINA,TERTIARY,COMMERCIAL,DATA,3.9,,,87.0
1194,35.0,MASCULINO,ARGENTINA,POST_GRADUATE,ENGINEERING,DATA,3.5,,17.1,86.0
1195,47.0,,ARGENTINA,POST_GRADUATE,ENGINEERING,DATA,,4065.8,28.6,94.0
1196,35.0,MASCULINO,BRAZIL,TERTIARY,COMMERCIAL,DATA,2.6,,19.2,91.0
1197,31.0,MASCULINO,ARGENTINA,,ENGINEERING,MARKETING,3.2,,,83.0
1198,37.0,MASCULINO,BRAZIL,UNIVERSITARY,ENGINEERING,PROGRAMACION,,4208.0,19.3,87.0
1199,36.0,MASCULINO,ARGENTINA,UNIVERSITARY,ENGINEERING,DATA,,,20.6,88.0
1200,32.0,MASCULINO,BRAZIL,UNIVERSITARY,ENGINEERING,DATA,3.3,4533.4,11.9,87.0
1201,24.0,MASCULINO,ARGENTINA,,COMMERCIAL,,3.5,4530.7,2.7,85.0
1202,29.0,,MEXICO,TERTIARY,COMMERCIAL,PROGRAMACION,,,8.2,85.0
1203,32.0,,,UNIVERSITARY,COMMERCIAL,PROGRAMACION,3.4,4561.4,,84.0
1204,45.0,FEMENINO,ARGENTINA,,COMMERCIAL,MARKETING,3.5,4562.8,30.9,104.0
1205,35.0,MASCULINO,ARGENTINA,POST_GRADUATE,DEVELOPMENT,DATA,4.0,4798.2,16.1,88.0
1206,37.0,,,UNIVERSITARY,COMMERCIAL,PROGRAMACION,,3317.4,22.0,97.0
1207,40.0,MASCULINO,,TERTIARY,DEVELOPMENT,,3.3,4488.5,26.0,93.0
1208,33.0,MASCULINO,ARGENTINA,UNIVERSITARY,ENGINEERING,DATA,3.8,4741.3,14.4,87.0
1209,41.0,FEMENINO,ARGENTINA,TERTIARY,ENGINEERING,EJECUTIVO,3.8,4731.7,26.9,101.0
1210,29.0,MASCULINO,ARGENTINA,UNIVERSITARY,COMMERCIAL,DATA,,5304.3,8.3,86.0
1211,24.0,FEMENINO,,,DEVELOPMENT,,3.7,4600.2,3.9,93.0
1212,38.0,FEMENINO,ARGENTINA,TERTIARY,ENGINEERING,DATA,4.1,4802.8,22.5,100.0
1213,35.0,MASCULINO,,UNIVERSITARY,COMMERCIAL,DATA,,4691.5,17.7,88.0
1214,32.0,FEMENINO,,TERTIARY,DEVELOPMENT,,,4683.5,12.0,98.0
1215,38.0,MASCULINO,ARGENTINA,UNIVERSITARY,ENGINEERING,PROGRAMACION,,3584.0,22.4,86.0
1216,25.0,,BRAZIL,TERTIARY,COMMERCIAL,PROGRAMACION,3.6,,3.4,86.0
1217,38.0,FEMENINO,MEXICO,,ENGINEERING,,3.5,4524.6,22.6,101.0
1218,33.0,MASCULINO,ARGENTINA,TERTIARY,DEVELOPMENT,DATA,4.1,4806.0,15.7,88.0
1219,32.0,MASCULINO,,TERTIARY,BUSINESS,PROGRAMACION,3.0,3827.5,12.6,93.0
1220,34.0,MASCULINO,BRAZIL,UNIVERSITARY,ENGINEERING,EJECUTIVO,,4692.7,15.9,87.0
1221,32.0,MASCULINO,,,ENGINEERING,PROGRAMACION,3.8,4695.4,,85.0
1222,35.0,,MEXICO,POST_GRADUATE,ENGINEERING,DATA,3.2,4406.7,17.6,87.0
1223,42.0,FEMENINO,ARGENTINA,TERTIARY,ENGINEERING,DATA,3.9,4673.6,27.3,105.0
1224,44.0,FEMENINO,ARGENTINA,UNIVERSITARY,ENGINEERING,EJECUTIVO,3.6,4591.3,28.3,101.0
1225,39.0,,,,,DATA,3.9,4669.2,,93.0
1226,35.0,FEMENINO,ARGENTINA,,ENGINEERING,DATA,3.4,4615.7,18.2,98.0
1227,28.0,MASCULINO,BRAZIL,UNIVERSITARY,DEVELOPMENT,MARKETING,4.0,4704.1,,86.0
1228,29.0,,ARGENTINA,UNIVERSITARY,ENGINEERING,DATA,3.7,,8.4,83.0
1229,39.0,MASCULINO,BRAZIL,TERTIARY,DEVELOPMENT,MARKETING,3.5,4615.1,23.7,94.0
1230,,FEMENINO,ARGENTINA,UNIVERSITARY,DEVELOPMENT,,3.3,4524.5,6.6,96.0
1231,38.0,MASCULINO,MEXICO,UNIVERSITARY,ENGINEERING,,,4593.3,21.9,89.0
1232,,,MEXICO,TERTIARY,,,4.0,4635.6,12.3,98.0
1233,39.0,MASCULINO,BRAZIL,,DEVELOPMENT,,3.6,4544.1,22.8,90.0
1234,30.0,MASCULINO,,,COMMERCIAL,DATA,3.8,4571.4,,85.0
1235,38.0,MASCULINO,,UNIVERSITARY,ENGINEERING,DATA,3.3,4456.6,22.8,90.0
1236,28.0,MASCULINO,,POST_GRADUATE,ENGINEERING,DATA,3.1,4149.1,6.7,80.0
1237,30.0,FEMENINO,ARGENTINA,,BUSINESS,PROGRAMACION,,4705.7,,95.0
1238,29.0,FEMENINO,ARGENTINA,TERTIARY,DEVELOPMENT,DATA,,4102.1,8.8,100.0
1239,,,BRAZIL,UNIVERSITARY,ENGINEERING,,,,,88.0
1240,,MASCULINO,ARGENTINA,TERTIARY,,PROGRAMACION,2.9,3623.2,7.5,85.0
1241,40.0,,ARGENTINA,POST_GRADUATE,ENGINEERING,PROGRAMACION,3.7,4701.1,24.7,87.0
1242,25.0,FEMENINO,ARGENTINA,UNIVERSITARY,ENGINEERING,,2.9,3620.6,,93.0
1243,37.0,MASCULINO,MEXICO,UNIVERSITARY,DEVELOPMENT,DATA,3.4,4575.4,19.5,89.0
1244,29.0,MASCULINO,ARGENTINA,,DEVELOPMENT,DATA,3.8,4623.9,7.8,86.0
1245,33.0,MASCULINO,,UNIVERSITARY,DEVELOPMENT,DATA,3.4,4513.5,15.0,88.0
1246,25.0,FEMENINO,ARGENTINA,,ENGINEERING,,3.0,3900.8,4.1,95.0
1247,,,ARGENTINA,UNIVERSITARY,ENGINEERING,PROGRAMACION,,4645.5,26.5,89.0
1248,33.0,,MEXICO,,COMMERCIAL,PROGRAMACION,4.0,4807.9,,83.0
1249,,MASCULINO,MEXICO,POST_GRADUATE,COMMERCIAL,,3.1,4086.6,16.5,87.0
1250,29.0,FEMENINO,ARGENTINA,,COMMERCIAL,DATA,3.9,4716.1,6.7,98.0
1251,39.0,MASCULINO,ARGENTINA,UNIVERSITARY,ENGINEERING,EJECUTIVO,4.6,6074.1,,90.0
